timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1054876,193069932,10,1044060,195805770,10,1042376,192293629,10,1037368,192918613
60,10,1588024,836811917,10,1830780,1226126610,10,1430456,528952955,10,1551244,779798837
120,10,1485572,1173650054,10,1601628,1378351921,10,1570904,999771666,10,1582000,1244717996
180,10,1598432,1060777247,10,1542360,1194586010,10,1555688,1409206336,10,1627804,1171862890
240,10,1592096,1146711018,10,1615196,1249693178,10,1508696,1185292221,10,1619224,1294426592
300,10,1518572,1126348602,10,1564868,1205816541,10,1579448,1174341912,10,1572496,1410371636
360,10,1631696,1187339726,10,1515500,1389539898,10,1532984,1162335085,10,1516660,1207702722
420,10,1443200,1315422228,10,1558664,1274272775,10,1596472,1172789309,10,1537120,1215255587
480,9,1456136,1090544774,10,1523948,1285407483,11,1681612,1214902996,10,1631104,1329323609
540,10,1694924,1157162230,10,1482104,1202925810,10,1465052,1170992408,10,1562860,1420117282
600,10,1505968,1234569929,10,1590212,1218145516,10,1656980,1206033873,10,1469008,1291470421
