timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1051532,188110226,10,1060792,191877873,10,1068712,195840564,10,1063440,187929045
60,10,1055360,45611149,10,1063960,44527337,10,1065148,50392442,10,1066344,44764377
120,6,1062488,81894078,12,1072804,130063710,7,1077424,131995865,15,1079148,202146532
180,9,1028248,323313937,11,1108312,444861992,10,1053532,428209545,10,1147788,657327837
240,10,1071808,679384996,10,1111480,700706363,10,1097224,631471729,10,1097364,640532885
300,10,1091080,817009833,10,1104024,883021764,10,1101712,771768859,10,1102944,788616114
360,9,1096492,1042964253,10,1112472,1059208644,10,1112680,946117371,11,1109544,821060332
420,10,1089952,1049837799,10,1116168,1154970369,10,1120732,1197883963,10,1126836,1137519122
480,10,1110512,1281271238,10,1123956,1274363313,10,1124164,1219664433,10,1117992,1155824598
540,10,1111060,1266844635,10,1123896,1404093235,11,1129048,1395793801,9,1123536,1365435424
600,10,1119376,1359488424,10,1127608,1450095337,10,1144888,1562884343,10,1113516,1482856731
