timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1057848,159124239,10,1045884,191079539,10,1052636,162297965,10,1076608,197679358
60,10,1114212,98555113,10,1088256,86508539,10,1102004,90358496,10,1115284,80785051
120,10,1205736,495655419,10,1247712,470254279,10,1253540,478911496,10,1184056,376778669
180,10,1264212,513116911,10,1317276,588506874,10,1337888,655349049,10,1353148,687740387
240,10,1427232,706217486,10,1308608,712658426,10,1393988,815722158,10,1311568,761193118
300,10,1461684,751830999,10,1438364,888382636,10,1446844,907650141,10,1559200,1014032854
360,10,1543920,937446621,10,1501908,1109220430,10,1536976,1117737109,10,1590616,999338021
420,10,1549860,1083251756,10,1514316,1299179827,10,1568180,1228938563,10,1493992,941346936
480,10,1621008,1431150508,10,1610676,1223276040,10,1474856,1305428361,10,1510624,1113902215
540,10,1612296,1538004874,10,1678524,1359012950,10,1652924,1231808643,10,1667836,1296267282
600,10,1673544,1486167908,10,1668228,1333006359,10,1720904,1477059712,10,1769684,1516551369
