timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1051952,92940646,10,1056484,196767001,10,1044812,181391069,10,1063636,123347177
60,10,1066604,135568760,10,1062688,71492657,10,1051280,78407983,10,1074592,122144834
120,11,1083632,464223036,8,1050676,357805623,13,1094312,421209309,8,1062448,405206863
180,10,1090100,684083858,10,1099384,712407353,10,1082828,602150041,10,1091424,641628173
240,10,1097228,819695299,10,1092652,809463318,10,1083488,769375641,10,1107264,835804508
300,10,1096700,926570653,10,1102684,932170408,10,1095632,970088414,10,1109640,1029704905
360,10,1104224,1012599157,10,1111660,1019587603,10,1100384,1156651243,10,1115844,1198443522
420,10,1106996,1172935230,10,1115356,1145303790,10,1105532,1306309347,10,1116372,1113553901
480,10,1113332,1260387195,10,1117220,1348590057,10,1111472,1426232597,10,1122312,1241842853
540,10,1122836,1400266187,10,1124024,1479662652,10,1113188,1471698662,10,1129048,1375724833
600,9,1112936,1444876431,11,1141448,1438713318,10,1118384,1649793659,10,1135700,1514345030
