timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1020492,115324710,5,1012484,105745915,5,1009672,105743892,5,1022744,103816105
60,5,1051116,627900524,5,1044164,770882355,5,1026304,216770540,5,1046108,353168281
120,5,1056264,904247857,5,1048124,955521121,5,1030396,263407537,5,1051520,537500587
180,5,1054152,947361625,5,1049048,955225362,5,1031320,226911380,5,1052840,548831258
240,5,1056132,932160574,4,1029776,665873168,6,1055608,548139906,5,1052708,537228247
300,5,1054020,881957050,4,1032152,602238818,6,1056136,719122558,5,1050200,506835242
360,5,1057848,954381410,4,1027400,479034590,6,1056268,703505187,5,1050596,528646310
420,5,1054812,954016191,4,1027664,514728107,6,1057852,702523599,5,1050728,551398295
480,5,1058640,928205820,4,1027928,579139334,6,1052176,624277281,5,1051520,523522943
540,5,1056924,925389087,4,1029248,531431996,6,1054288,683779791,5,1053632,531519692
600,5,1061940,958064060,4,1028324,518280224,6,1055080,648780154,5,1052048,537695760
