timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1010328,145465144,5,1004684,138575496,5,1001360,138935378,5,1010768,139505809
60,5,1011384,33644672,5,1004816,45335743,5,1002812,44886411,5,1011560,43266124
120,5,1041084,74693925,5,1036232,79374004,5,1039772,93652568,5,1052480,85433458
180,5,1113948,146297382,5,1094840,190040156,5,1123988,235994561,5,1120724,163615566
240,5,1184436,215111145,5,1128764,272625981,5,1204376,343472960,5,1183556,266700525
300,5,1230636,328682891,5,1189748,383270193,5,1257572,425214556,5,1226192,309272298
360,5,1275780,355944607,5,1218260,462218820,5,1299680,545952416,5,1293908,436146022
420,5,1307724,434828114,5,1261292,634429319,5,1336904,667134598,5,1306712,417891337
480,5,1337820,498289913,5,1289672,648428574,5,1370828,758185409,5,1317800,548982866
540,5,1360524,623016430,5,1333364,761173836,5,1390628,811858732,5,1351328,605740007
600,5,1371876,622665881,5,1348280,799519190,5,1416236,874988976,5,1395284,745183129
