timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1019436,129197684,5,1010492,160059750,5,1003588,131900273,5,1015484,154279400
60,5,1019304,36045747,5,1012868,42737055,5,1005964,40553645,5,1017200,45959563
120,5,1067880,77900963,5,1035044,58998775,5,1038436,72428886,5,1056272,79156931
180,5,1137444,148536639,5,1141172,181040163,5,1118824,152100874,5,1146296,198944682
240,5,1204632,206198561,5,1238192,288283522,5,1216636,295410854,5,1195928,261952035
300,5,1238424,262926925,5,1299308,351222696,5,1287652,374851442,5,1247672,417052572
360,5,1272744,390173213,5,1350524,434911515,5,1326988,483056407,5,1279088,465154758
420,5,1328052,463724954,5,1380752,582657556,5,1333456,474998713,5,1318952,595594197
480,5,1340856,514730562,5,1391972,660941542,5,1371076,596758677,5,1365812,635023124
540,5,1357752,548544612,5,1422596,768590682,5,1388896,603230168,5,1408448,793432143
600,5,1374252,666094131,5,1444244,831845788,5,1426780,693454226,5,1437752,878419915
