timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1142032,192937567,10,1149524,198889234,10,1143112,197830438,10,1152808,196060078
60,10,1512160,406116742,10,1454708,320686349,10,1419652,319609859,10,1418788,290143424
120,10,1664884,708027724,10,1681088,712686332,10,1562608,625965888,10,1572040,563119003
180,10,1762168,730632440,10,1713824,674811861,10,1626496,561238631,10,1634080,559096400
240,10,1771012,700736090,10,1747880,687859563,10,1658704,588770432,10,1649524,550148257
300,10,1787908,748716708,10,1784840,629602386,10,1665568,567821080,10,1683316,613598565
360,10,1803880,697203899,10,1775648,701397400,10,1680352,580880143,10,1712752,549980529
420,10,1817740,727764898,10,1781332,699842480,10,1702264,560596264,10,1704964,564450706
480,10,1783684,682051042,10,1801792,680221455,10,1755196,611875438,10,1717108,543685389
540,10,1804936,710928970,10,1799416,691019312,10,1742656,543340951,10,1725688,550106068
600,10,1833184,733679792,10,1792420,700790037,10,1750312,558011131,10,1756180,530399971
