timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1076676,193418483,10,1088820,188017372,10,1087792,192598886,10,1090328,185607891
60,10,1484544,533589038,10,1732224,850108296,10,1501052,555894851,10,1514092,548331618
120,11,1774412,1049302421,7,1730804,1361578708,11,1727720,1002131068,11,1744156,1055200304
180,11,1786644,1062673834,7,1722356,1309801422,11,1779584,975745750,11,1778288,1027104196
240,11,1848080,1029395846,7,1768160,1286746764,11,1807560,1051470351,11,1781388,1015366531
300,11,1832000,1047433597,7,1787960,1268141157,11,1817196,1002934455,11,1823856,1056753235
360,11,1864196,1052761390,7,1782944,1264885407,11,1834584,1011913720,11,1825952,1052911777
420,11,1841368,1027061898,7,1801820,1328296209,11,1811528,1019018303,11,1814732,985598397
480,11,1869748,1003457353,7,1784132,1252951922,11,1810516,1055344878,11,1857764,1074649216
540,11,1864996,997029565,7,1773192,1372975634,11,1812364,985039370,11,1861196,1028711431
600,11,1866496,1033649444,7,1768836,1282034499,11,1817608,970310215,11,1869248,1061988070
