timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,986624,107987407,5,982900,104412966,5,987068,104329023,5,1024788,106808576
60,5,1187792,202169055,5,1114636,142802631,5,1172132,192019320,5,1256448,241655001
120,5,1332860,719508187,5,1283596,526827835,5,1301624,588000679,5,1350960,660181237
180,5,1384736,754798885,5,1304320,537963656,5,1349540,577881695,5,1386864,618694639
240,5,1391468,662119153,5,1351048,564880971,5,1361948,550704050,5,1399008,600945023
300,5,1416020,726139084,5,1332568,559381221,5,1371848,576233306,5,1353600,591061329
360,5,1404272,682871344,5,1353424,590923439,5,1399304,591764263,5,1390956,611840093
420,5,1438328,768863079,5,1371772,572659197,5,1394684,579880164,5,1388316,614152544
480,5,1402820,673081449,5,1390912,578709798,5,1375544,626199872,5,1404420,641609967
540,5,1393712,745179065,5,1347748,547310150,5,1394288,590457301,5,1412472,657799976
600,5,1394240,707833617,5,1355404,487322434,5,1427024,672516025,5,1404684,673518622
