timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1034856,114049310,5,1040080,124438965,5,1069312,124413408,5,1031708,102838799
60,5,1035780,34634660,5,1040344,35644171,5,1069312,34039414,5,1032896,34479499
120,5,1092012,96085944,5,1103176,102820895,5,1110496,78705021,5,1099028,102055764
180,5,1189560,198731226,5,1192540,207969029,5,1192336,160004683,5,1180340,220420572
240,5,1268760,284088888,5,1251940,333248932,5,1247512,222949490,5,1253072,330734069
300,5,1335816,438153561,5,1318204,384326512,5,1307176,296495707,5,1293200,393502619
360,5,1385316,505037513,5,1347904,456625588,5,1370140,391575859,5,1318412,496196010
420,5,1402344,572228904,5,1384732,560551708,5,1403536,447532803,5,1349168,635546251
480,5,1420296,638476800,5,1397800,631302085,5,1418848,585891532,5,1388108,704097488
540,5,1465836,793245457,5,1444000,735803515,5,1441552,645273814,5,1408700,739307749
600,5,1438644,775987934,5,1483536,842962703,5,1474420,689952296,5,1437212,847676510
