timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1004752,57778940,5,961896,61427395,5,940488,34194133,5,990120,111620625
60,5,1039336,118029987,5,999648,100381279,5,997248,65692887,5,995136,92844214
120,5,1045540,332517486,5,1005456,217399894,5,1006620,312343788,5,1003716,302035669
180,5,1051216,513005289,5,1009944,342052215,5,1011372,447652268,5,1012296,579278806
240,5,1056892,774030210,5,1013244,381787779,5,1017972,648751368,5,1016784,859455328
300,5,1060456,977383682,5,1017336,517533380,5,1018632,757750110,5,1019688,1012208381
360,5,1065208,1147952913,5,1021164,627667109,5,1022064,927226800,5,1025760,1140791181
420,5,1068112,1330970883,5,1023672,737723966,5,1025628,962514604,5,1027212,1359470492
480,5,1074712,1481983473,5,1024596,838615335,5,1026024,1125414337,5,1028268,1464503203
540,5,1071544,1551075506,5,1025520,810129285,5,1031040,1264825029,5,1033284,1603667239
600,5,1074712,1683304029,5,1029084,943828508,5,1036452,1334432293,5,1035660,1656349897
