timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1039016,101873178,5,1010136,110641293,5,1013072,108612146,5,1002924,108920803
60,5,1043900,69703113,5,1016604,79433457,5,1014788,48099894,5,1008864,66516184
120,5,1053140,265360699,5,1025844,237801830,5,1028384,237920779,5,1018500,245735792
180,5,1060796,452578304,5,1029672,413920628,5,1033532,389296763,5,1025628,478670384
240,5,1065548,639948694,5,1035480,615630382,5,1038284,598182398,5,1029852,612131901
300,5,1070300,872575666,5,1041288,822625499,5,1042772,778882822,5,1032228,700092863
360,5,1073204,985641336,5,1042872,943257545,5,1045676,940737550,5,1039224,929444985
420,5,1076240,1150882638,5,1048548,1119452778,5,1048184,1049768410,5,1040544,1056124373
480,5,1080596,1320328525,5,1051848,1200580047,5,1053596,1241403019,5,1040280,1116070575
540,5,1082972,1443863758,5,1050528,1258152885,5,1054388,1226552654,5,1045560,1307758481
600,5,1083764,1461683851,5,1055940,1409120401,5,1061648,1437599928,5,1047804,1335180889
