timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1067944,185866142,10,1043092,172599847,10,1056432,179849806,10,1045300,182497286
60,10,1092892,138123623,10,1039264,50460941,10,1060392,53958411,10,1057840,51017717
120,10,1130116,1375842936,10,1096552,1316013170,10,1098144,787550870,10,1112752,1203687418
180,10,1134736,1323148300,10,1103812,1448008935,10,1100916,797959584,10,1108792,1125929639
240,10,1132756,1365086573,10,1103020,1376206899,10,1104348,777877605,10,1113940,1188976126
300,10,1127608,1267804910,10,1101172,1317027118,10,1102236,747027800,10,1116712,1308692171
360,10,1131040,1306549339,10,1100776,1303381613,10,1108440,827484491,10,1114204,1201127412
420,10,1132096,1285943429,10,1103548,1303819888,10,1108440,837120581,10,1115524,1206695802
480,10,1134340,1356441763,10,1102624,1390641078,10,1106856,807254892,10,1117240,1175633827
540,10,1133284,1378434630,10,1100644,1330230951,10,1108572,765131818,10,1117108,1194442483
600,10,1134076,1333776948,10,1105660,1395595725,10,1107252,804042012,10,1116448,1199767901
