timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1033112,193954278,10,1040396,189130000,10,1058784,232083960,10,1025356,198400253
60,10,1516364,647590152,10,1553744,680450632,10,1561836,655954655,10,1409212,488903486
120,10,1693508,1131699102,10,1771940,1214724974,10,1776600,1174772076,10,1586092,878804328
180,10,1724660,1087370326,10,1796096,1233787734,10,1804716,1223121225,10,1631500,835458238
240,10,1773896,1127708248,10,1873380,1261341557,10,1840752,1162312901,10,1645228,761650215
300,10,1818512,1178452874,10,1862060,1230153885,10,1849860,1205439763,10,1656580,755035201
360,10,1823000,1121142040,10,1808256,1219219329,10,1857384,1155406594,10,1724692,842207256
420,10,1833296,1091257184,10,1802448,1208217615,10,1839356,1246939621,10,1714396,837216747
480,10,1798588,1125161544,10,1879536,1211687798,10,1849520,1191828100,10,1727992,833653514
540,10,1870264,1083063936,10,1826208,1161002447,10,1902220,1268742778,10,1756108,842342633
600,10,1875016,1047521460,10,1883468,1227888370,10,1876484,1281747000,10,1759276,825611680
