timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1051872,196970814,10,1038212,194816639,10,1053188,195481822,10,1062744,193617061
60,10,1106256,710862319,10,1086788,579250804,10,1104272,657522625,10,1117656,648509610
120,10,1112064,1211768291,10,1092728,1087618064,10,1109024,1158784214,10,1120428,1258803483
180,10,1110744,1208712237,10,1095104,1092179915,10,1113512,1180086975,10,1122012,1246764627
240,10,1109556,1174986650,10,1097348,1096367918,10,1114040,1206270500,10,1124652,1285202785
300,10,1113648,1210100347,10,1093916,1114726256,10,1113776,1218856496,10,1121088,1205664108
360,10,1114176,1234329402,10,1096028,1075916819,10,1114040,1210478457,10,1122804,1221380331
420,10,1111404,1117023545,10,1096820,1142970240,10,1114568,1233848783,10,1125180,1277987372
480,10,1115760,1199804992,10,1095764,1149288574,10,1109288,1155126762,10,1125576,1245096769
540,10,1111668,1173460506,10,1094972,1085424879,10,1113380,1159145113,10,1126500,1302348779
600,10,1113120,1207182445,10,1095632,1051805774,10,1114172,1180822296,10,1130724,1313431174
